1,3.04,7,2
2,0.88,14,5
3,2.22,7,4
4,2.23,17,2
5,3.35,8,7
6,4.22,1,8
7,1.95,18,7
8,2.82,1,5
9,4.93,10,8
10,0.92,14,7
11,3.19,19,4
12,3.8,19,4
13,4.79,4,9
14,2.83,3,8
15,1.54,3,2
16,0.32,11,2
17,3.07,19,7
18,0.87,5,9
19,0.96,2,3
20,4.75,12,8
21,4.34,9,7
22,0.17,7,3
23,2.35,5,6
24,4.24,1,7
25,2.92,18,1
26,1.71,11,1
27,2.95,3,4
28,0.86,13,4
29,4.84,3,1
30,0.59,4,7
31,0.61,3,6
32,0.63,13,2
33,1.26,3,7
34,1.21,8,4
35,1.13,8,7
36,2.6,12,5
37,2.65,18,5
38,1.89,9,4
39,3.35,4,3
40,2.32,6,2
41,0.12,12,7
42,3.77,3,9
43,3.43,5,3
44,0.81,13,2
45,1.39,11,9
46,3.9,11,9
47,4.64,7,2
48,3.36,14,9
49,0.94,5,3
